ComponentType,InstanceCount,TickCount,SuccessCount,FailureCount,AdditionCount
BTFlowNodeComposite,0,78,2,0,0
CallGOAPPlanner,0,0,0,0,0
CallSCPlanner,0,0,0,0,0
DecoratorDynamicPlanningComplete,7,37,37,0,7
DecoratorExclusiveBranchGate,7,37,37,0,7
DecoratorLowestCostExecution,7,37,37,0,7
DecoratorPlanningComplete,8,76,75,1,8
DecoratorResetOnSubtreeSuccess,7,37,37,0,7
DecoratorRetryOnFailure,8,75,75,0,8
DynamicFlowNode,0,76,8,0,0
FlowNode,10,0,0,0,10
GenericBTAction,37,67,37,0,37
ServiceBatchEntry,0,39,39,0,1
ServicePDDLPlanning,0,76,76,0,8
ServicePlanningPhaseManager,0,39,39,0,1
ServiceSubtreeInject,37,67,67,0,37
TOTAL,128,741,566,1,138
